"gene","shared_pathways_n","pathways","STAT5_axis_gene","curated_STAT5_target"
"NFKB1",12,"Acute myeloid leukemia;B cell receptor signaling pathway;Epstein-Barr virus infection;HIF-1 signaling pathway;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;Human T-cell leukemia virus 1 infection;Osteoclast differentiation;Pathways in cancer;Relaxin signaling pathway;T cell receptor signaling pathway;Th1 and Th2 cell differentiation",FALSE,FALSE
"MAPK3",11,"Alzheimer disease;B cell receptor signaling pathway;HIF-1 signaling pathway;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;Human T-cell leukemia virus 1 infection;Rap1 signaling pathway;Relaxin signaling pathway;Retrograde endocannabinoid signaling;Th1 and Th2 cell differentiation;VEGF signaling pathway",FALSE,FALSE
"FOS",9,"B cell receptor signaling pathway;Human immunodeficiency virus 1 infection;Human T-cell leukemia virus 1 infection;Osteoclast differentiation;Pathways in cancer;Relaxin signaling pathway;T cell receptor signaling pathway;Th1 and Th2 cell differentiation;Th17 cell differentiation",FALSE,FALSE
"RELA",9,"B cell receptor signaling pathway;Epstein-Barr virus infection;HIF-1 signaling pathway;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;Human T-cell leukemia virus 1 infection;Mitophagy;Relaxin signaling pathway;Th1 and Th2 cell differentiation",FALSE,FALSE
"BAX",8,"Epstein-Barr virus infection;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;Human T-cell leukemia virus 1 infection;Huntington disease;Pathways in cancer;Thyroid cancer;Transcriptional misregulation in cancer",FALSE,FALSE
"IFNGR2",7,"HIF-1 signaling pathway;JAK-STAT signaling pathway;Natural killer cell mediated cytotoxicity;Osteoclast differentiation;Pathways in cancer;Th1 and Th2 cell differentiation;Th17 cell differentiation",TRUE,FALSE
"NFATC2",7,"B cell receptor signaling pathway;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;Human T-cell leukemia virus 1 infection;Natural killer cell mediated cytotoxicity;Th1 and Th2 cell differentiation;VEGF signaling pathway",FALSE,FALSE
"ADCY7",6,"Human cytomegalovirus infection;Human T-cell leukemia virus 1 infection;Rap1 signaling pathway;Relaxin signaling pathway;Retrograde endocannabinoid signaling;Thermogenesis",FALSE,FALSE
"COX4I1",6,"Alzheimer disease;Cardiac muscle contraction;Huntington disease;Oxidative phosphorylation;Parkinson disease;Thermogenesis",FALSE,FALSE
"COX5A",6,"Alzheimer disease;Cardiac muscle contraction;Huntington disease;Oxidative phosphorylation;Parkinson disease;Thermogenesis",FALSE,FALSE
"COX6A1",6,"Alzheimer disease;Cardiac muscle contraction;Huntington disease;Oxidative phosphorylation;Parkinson disease;Thermogenesis",FALSE,FALSE
"COX6C",6,"Alzheimer disease;Cardiac muscle contraction;Huntington disease;Oxidative phosphorylation;Parkinson disease;Thermogenesis",FALSE,FALSE
